dose
300 MG
20 MG/ML
600-300MG
2-60-25 MG
0.5-15MG/1
460X10EXP6
5 MG/ML
5 MG
2 MG
10 MG
15 MG
20 MG
30 MG
1 MG/ML
400 MG
250 MG
500 MG
100 MG
10 %
40 MG
25 MG
35 MG
32 MG
8 MG
16 MG
24 MG
1-5X10EXP8
333 MG
1.2(1)%-5%
1.2%-2.5%
50 MG
20-12.5 MG
20 MG-25MG
10-12.5MG
200 MG
200 MG/ML
100 MG/ML
500MG-25MG
250-250-38
320.5-30MG
325-30-16
325 MG
160 MG/5ML
500MG/15ML
650MG/20.3
325/10.15
120 MG
650 MG
160 MG
1000MG/100
80 MG
500MG/50ML
300MG-30MG
300MG-60MG
300MG-15MG
120-12MG/5
300MG/12.5
240-24/10
125 MG
2 %
0.25 %
10-800-165
105-160MG
358-95/15
75 MG
Not Applicable
175 MG
100MM CELL
35MM-25MM
500MM CELL
1B CELL
2B CELL
0.5 MG
500MM-50MG
17.5 MG
5 %
6 %
7 %
2.5 %
9.8 %
9.5 %
162 MG/0.9
400MG/20ML
80 MG/4 ML
200MG/10ML
80 UNIT/ML
10 MCG/0.5
330 MG
1 G/10 ML
150 MG
2 MG-60 MG
1MG-30MG/5
200-30-10
50G/240ML
25 G/120ML
15G/72ML
100MCG/0.5
200-15-30
50-5-15/5
50 MCG/ML
600 MCG
200 MCG
400 MCG
800 MCG
1200 MCG
1600 MCG
250MCG/5ML
100MCG/2ML
2750MCG/55
1500MCG/30
2500MCG/50
1000MCG/20
100 MCG
260 MG
10 MG/ML
300MG-4-1%
0.5-0.1 MG
1 MG-0.5MG
15MG-850MG
15MG-500MG
45 MG
0.5 %
0.4 %
30MG/ML(1)
60 MG/2 ML
15 MG/ML
30 MG/ML
15.75 MG
0.45 %
800 MG
200 MG/5ML
1000 MG
50 MG/ML
7.5 %
2-2.5-5/.5
100MG/10ML
0.1 %
0.3 %
0.1 %-2.5%
0.3 %-2.5%
150 MG/ML
2.5 MG
7.5 MG
12.5 MG
1.5 MG
1 MG
3 MG/ML
37.5 MG
5 MG/24 HR
10 MG/24HR
100-10-5MG
100/ML
1 MG/ML(1)
2 MG/ML
10 MG/5 ML
50 MG/25ML
20 MG/10ML
2.5 G/50ML
170 MG/1.7
300MG/3ML
81 MG
100-5 MG/5
ADULT
100 MG/5ML
100-10MG/5
400MG-20MG
200-10MG/5
250-50 MCG
100-50 MCG
500-50 MCG
115-21MCG
230-21MCG
45-21 MCG
200-200-20
400-400-40
3000 (+/-)
4000 (+/-)
2000 (+/-)
1500 (+/-)
500 (+/-)
1000 (+/-)
250 (+/-)
2-30-200MG
200MG-30MG
600 MG
200MG-38MG
200MG-25MG
18.8 MG
9.4 MG
15.7 MG
6.3 MG
3.1 MG
194 MG
0.25 MG
0.75 MG
3 MG
0.1-0.02MG
60MCG/.5ML
4 UNIT
8 UNIT(90)
4 UNIT(90)
12 UNIT
4-8-12(60)
8 UNIT
0.05 %
2500 (+/-)
5 MG/100ML
3.75 MG/15
12.5MG/250
2.5 %-2.5%
140 MG/ML
70 MG/ML
113-14 MCG
232-14 MCG
55-14 MCG
225 MG/1.5
500-10K/G
0.005 %
25 MG/5 ML
50MG/ML(1)
50 MG/10ML
3.5 %
300-0.5 MG
235-0.25MG
1 %
3 %-0.5 %
5 MG-120MG
0.025 %
25 %
2.5 MG/3ML
1.25MG/3ML
0.63MG/3ML
2.5 MG/0.5
2 MG/5 ML
4 MG
90 MCG
50 MG-50MG
25 MG-25MG
2.9 MG/5ML
70 MG
70 MG/75ML
550 MG
220 MG
275 MG
220MG-25MG
220-120MG
5MMUNIT/ML
25 MG/ML
750 MG
60 MG
344-1050MG
500-1985MG
180 MG
60MG-120MG
180-240MG
